id,login,BordaCount,12MonthActivityNum,Authority,FollowersNum,ForkedHindex,WatcherHindex,usrPageRankScore
10,"mcollina",525,670,1026,558,25,31,710
27,"jimweirich",317,1080,510,342,25,42,227
31,"cocos2d",679,1078,478,849,16,41,1107
58,"hcilab",880,1060,489,768,32,59,1822
78,"samuelclay",613,1046,921,557,29,54,732
129,"tenderlove",59,1003,71,69,23,34,52
189,"hmason",284,1080,500,213,26,52,231
216,"fredwu",899,1048,1257,664,26,46,1279
303,"Marak",215,1017,397,278,23,41,122
412,"sjl",294,994,391,325,21,39,348
418,"ask",852,1068,1824,726,32,59,456
465,"andrew",151,28,681,484,26,45,340
651,"passy",471,889,482,440,24,40,947
796,"kennethreitz",19,1003,23,16,12,17,14
858,"willdurand",728,945,1296,629,20,39,839
859,"stof",520,741,1125,449,29,55,616
872,"pcwalton",943,810,1803,1050,28,49,714
877,"fnando",502,1035,826,417,19,36,614
896,"JakeWharton",3,421,4,2,10,8,2
963,"bnoordhuis",242,844,327,380,26,46,363
974,"piscisaureus",686,1074,894,831,30,56,722
979,"IgorMinar",250,931,392,260,25,50,357
986,"vojtajina",595,1075,792,511,23,42,837
988,"mhevery",177,927,223,172,27,50,304
995,"isaacs",35,994,40,54,19,26,42
1001,"philips",704,686,1506,776,27,50,623
1019,"madrobby",181,1078,269,191,21,43,109
1039,"nimbupani",438,1080,730,508,29,57,286
1063,"ryanb",69,1080,82,43,19,41,30
1199,"substack",12,883,16,22,6,2,18
1445,"dariusk",915,1067,1339,860,25,42,1042
1556,"vmg",423,1045,688,535,27,51,303
1561,"brianmario",839,1063,1736,922,27,51,327
1563,"technoweenie",126,890,299,190,22,41,56
1564,"rtomayko",185,1080,325,220,22,46,49
1565,"josh",165,913,320,254,25,44,96
1567,"sr",975,1061,2027,1006,28,52,391
1569,"tekkub",137,1074,242,59,28,55,82
1570,"defunkt",28,1079,14,7,16,30,8
1586,"weierophinney",200,644,608,259,28,49,232
1628,"Ocramius",355,927,635,295,24,39,464
1630,"CakeDC",599,1064,568,732,20,42,873
1651,"nelstrom",776,1071,1602,618,24,48,547
1654,"davidflanagan",999,1048,1169,1118,30,55,1215
1700,"tavisrudd",983,1076,2232,704,30,54,501
1706,"borismus",641,1070,991,702,20,39,606
1736,"douglascrockford",34,1077,7,9,22,46,11
1740,"mperham",374,929,653,430,25,44,401
1779,"paulirish",4,437,6,5,21,31,6
1784,"malsup",697,1080,1357,659,25,52,460
1831,"dominictarr",101,752,175,291,18,17,161
1880,"shiffman",179,844,400,171,21,39,235
1900,"guille",163,1071,110,267,32,59,110
1934,"mislav",188,1011,317,227,22,42,155
1954,"visionmedia",25,1080,5,20,20,4,12
1981,"graydon",566,1010,1167,554,29,53,354
2074,"BrendanEich",203,1069,145,286,31,57,247
2075,"andreasgal",1000,1055,1995,1117,27,50,395
2077,"dherman",384,999,411,588,28,50,461
2084,"marijnh",160,1014,158,246,26,45,150
2092,"KentBeck",655,1079,1319,487,31,58,493
2094,"amatsuda",320,989,565,306,22,38,324
2122,"sstephenson",133,1069,159,137,22,35,99
2163,"hakimel",63,1078,47,46,16,41,45
2169,"sgolemon",864,1043,1366,813,30,52,885
2223,"sebastianbergmann",124,1010,233,116,16,35,78
2258,"0xced",681,972,990,716,25,45,824
2259,"darwin",979,1032,1772,880,29,52,814
2262,"akitaonrails",312,1007,529,237,27,49,359
2404,"mcxiaoke",397,1051,206,212,24,44,1044
2425,"robb",600,1076,722,518,26,46,913
2427,"mattt",31,1078,24,14,15,20,13
2441,"lexrus",267,1037,300,176,21,38,485
2455,"tangqiaoboy",159,1077,127,87,24,48,262
2532,"mrdoob",44,1041,41,29,23,41,23
2551,"benjamn",661,964,988,706,28,51,753
2556,"topfunky",409,1076,858,481,25,49,123
2723,"rkh",262,1070,324,290,29,52,282
2745,"sdiehl",651,1044,869,581,26,41,895
2808,"hij1nx",458,1080,836,575,32,38,198
2823,"igrigorik",49,926,98,85,17,31,57
2841,"munificent",414,969,698,438,25,46,457
2973,"evanw",268,1047,422,350,23,37,178
3069,"SlexAxton",224,1071,261,269,26,51,221
3080,"creationix",50,954,76,101,16,27,40
3142,"charliesome",100,1045,148,68,26,44,77
3252,"leizongmin",842,1022,1098,568,26,45,1373
3339,"be5invis",611,921,871,661,31,54,792
3344,"jbarnette",659,1073,1444,784,28,52,95
3569,"mitsuhiko",11,786,42,37,14,20,46
3662,"mixu",343,1072,427,396,23,41,386
3678,"lotem",766,1036,1126,603,30,56,1043
3730,"derickbailey",593,1050,1029,472,23,41,658
3741,"kevinsawicki",14,586,141,120,24,46,113
3750,"tbranyen",514,937,1032,600,25,45,358
3789,"agentzh",84,1040,77,71,27,45,72
3808,"ekmett",237,1053,347,332,19,34,180
3816,"daneden",157,1044,150,118,26,49,233
3871,"sindresorhus",1,296,9,8,2,1,19
3892,"wycats",38,1039,33,36,20,37,20
3919,"simurai",443,851,786,620,28,48,367
3937,"tomdale",297,975,280,381,28,49,427
4009,"wbond",449,1044,612,329,23,44,663
4042,"kr",614,1031,961,737,24,39,549
4073,"sahat",236,1020,279,168,25,45,420
4096,"btford",161,1051,207,136,17,32,200
4140,"atmos",382,986,765,544,25,45,158
4278,"SteveSanderson",503,1079,711,520,25,47,572
4292,"omz",682,1059,831,717,28,55,889
4328,"maccman",122,1069,156,108,15,24,108
4341,"ginatrapani",282,1067,485,201,28,52,257
4509,"ddollar",644,706,1157,739,19,39,779
4532,"cheeaun",755,1026,1465,715,24,41,587
4541,"jiyinyiyong",674,984,705,460,29,54,1307
4561,"pivotal",657,1068,551,1053,18,40,738
4567,"jamesgolick",911,1080,1928,908,26,47,369
4578,"ded",166,1078,144,243,20,42,134
4594,"android",79,1080,64,106,3,29,37
4597,"sebmarkbage",285,934,556,445,28,53,89
4764,"nzakas",37,858,89,82,25,46,80
4786,"swannodette",147,1076,198,153,21,37,102
4796,"chrisdickinson",779,1047,1149,799,26,40,857
4828,"fabpot",13,767,79,49,27,48,38
4896,"radar",394,1004,638,378,21,44,479
4907,"codahale",369,1037,717,393,26,40,234
5009,"jrburke",291,1042,333,266,25,46,397
5019,"binux",478,1068,382,340,24,47,982
5070,"nicolasgramlich",603,1006,861,489,16,45,893
5091,"cowboy",106,906,193,150,16,33,128
5094,"cloudwu",43,1028,21,35,26,43,41
5101,"fat",65,1070,39,47,26,48,47
5203,"torvalds",29,1072,1,1,30,56,1
5212,"gregkh",510,1059,910,337,26,48,596
5260,"antirez",62,1069,54,53,18,29,35
5274,"michaelklishin",643,759,975,678,20,40,959
5305,"mathiasbynens",17,699,112,99,21,26,93
5308,"raspberrypi",192,1063,171,311,22,43,168
5441,"kelseyhightower",289,1005,312,339,20,22,409
5474,"robbiehanson",295,1071,161,279,27,54,529
5505,"xNotch",457,1080,495,669,31,60,421
5556,"gavinandresen",521,1068,604,572,29,53,689
5737,"davidfowl",287,757,548,321,26,41,413
5800,"bfirsh",670,893,1047,706,25,45,806
5823,"tpope",42,1079,45,34,13,7,15
5827,"rmurphey",232,1073,346,244,25,49,187
5993,"MatthewMueller",570,806,896,702,25,37,716
5995,"drnic",231,963,460,320,21,46,111
6038,"huangz1990",278,1076,128,219,24,42,595
6049,"stubbornella",288,1071,484,283,28,56,184
6084,"guybedford",891,884,1031,931,28,49,1354
6116,"purcell",468,818,1035,432,24,40,472
6189,"chriseppstein",435,1021,749,451,31,58,374
6221,"timoxley",618,989,998,700,26,41,607
6240,"addyosmani",10,887,3,4,16,9,9
6246,"matthewmccullough",629,1058,1261,576,28,52,415
6258,"necolas",67,984,90,73,21,37,86
6288,"ianstormtaylor",373,830,281,671,27,41,630
6290,"mranney",850,1067,1134,1028,29,54,847
6321,"octocat",331,1076,440,315,27,55,366
6324,"brendangregg",360,947,541,517,27,46,333
6378,"orta",94,134,437,362,22,31,402
6396,"tjfontaine",973,1075,952,822,26,47,1634
6398,"akrabat",848,952,1464,571,26,48,1092
6400,"TooTallNate",202,1000,341,241,18,24,205
6483,"zenorocha",111,943,130,90,21,36,220
6535,"jaredhanson",547,1024,810,444,12,28,770
6569,"jezdez",299,938,646,322,30,42,174
6599,"kriskowal",337,785,651,454,25,48,361
6602,"jacobian",204,1021,357,236,29,52,140
6635,"adrianholovaty",995,1073,1324,659,30,57,1481
6689,"mateiz",665,1077,807,825,31,58,706
6764,"bobthecow",960,919,1962,844,32,59,678
6787,"jckarter",768,881,1041,939,29,53,952
6991,"codeguy",450,1044,571,272,31,58,740
6993,"jordansissel",466,908,745,522,20,41,581
