id,login,BordaCount,12MonthActivityNum,Authority,FollowersNum,ForkedHindex,WatcherHindex,usrPageRankScore
129,"tenderlove",59,1003,71,69,23,34,52
796,"kennethreitz",19,1003,23,16,12,17,14
896,"JakeWharton",3,421,4,2,10,8,2
995,"isaacs",35,994,40,54,19,26,42
1063,"ryanb",69,1080,82,43,19,41,30
1199,"substack",12,883,16,22,6,2,18
1570,"defunkt",28,1079,14,7,16,30,8
1736,"douglascrockford",34,1077,7,9,22,46,11
1779,"paulirish",4,437,6,5,21,31,6
1954,"visionmedia",25,1080,5,20,20,4,12
2163,"hakimel",63,1078,47,46,16,41,45
2427,"mattt",31,1078,24,14,15,20,13
2532,"mrdoob",44,1041,41,29,23,41,23
2823,"igrigorik",49,926,98,85,17,31,57
3080,"creationix",50,954,76,101,16,27,40
3142,"charliesome",100,1045,148,68,26,44,77
3569,"mitsuhiko",11,786,42,37,14,20,46
3741,"kevinsawicki",14,586,141,120,24,46,113
3789,"agentzh",84,1040,77,71,27,45,72
3871,"sindresorhus",1,296,9,8,2,1,19
3892,"wycats",38,1039,33,36,20,37,20
4594,"android",79,1080,64,106,3,29,37
4764,"nzakas",37,858,89,82,25,46,80
4828,"fabpot",13,767,79,49,27,48,38
5094,"cloudwu",43,1028,21,35,26,43,41
5101,"fat",65,1070,39,47,26,48,47
5203,"torvalds",29,1072,1,1,30,56,1
5260,"antirez",62,1069,54,53,18,29,35
5305,"mathiasbynens",17,699,112,99,21,26,93
5823,"tpope",42,1079,45,34,13,7,15
6240,"addyosmani",10,887,3,4,16,9,9
6258,"necolas",67,984,90,73,21,37,86
6378,"orta",94,134,437,362,22,31,402
7125,"jashkenas",51,1079,19,21,24,48,24
7182,"alex",24,604,170,135,28,50,152
8150,"josevalim",18,802,78,63,27,49,59
8179,"dhh",52,1043,28,25,32,58,31
8237,"koush",82,1038,80,67,18,38,87
8320,"michaelliao",39,1062,26,28,21,45,3
9236,"mojombo",27,1076,11,6,16,35,5
9308,"soffes",98,990,172,110,16,16,101
9452,"JeffreyWay",64,1053,59,40,25,42,54
9777,"LeaVerou",30,1014,30,32,16,36,34
9779,"domenic",8,168,199,216,23,38,139
9883,"lifesinger",68,1080,29,33,31,60,61
10005,"schacon",47,1080,38,17,17,40,21
10227,"feross",5,263,96,80,18,11,112
10488,"maxogden",45,955,88,86,12,5,55
11213,"nicklockwood",90,1046,60,104,7,10,127
11961,"fengmk2",80,682,184,117,26,51,259
12359,"laruence",76,1077,56,50,21,41,71
13009,"mbostock",7,650,13,10,23,37,16
13256,"pjhyett",81,1080,95,30,29,56,29
13395,"ry",71,1069,69,61,29,54,25
15262,"ebidel",60,684,165,123,23,46,214
16110,"holman",87,1061,85,75,23,42,51
16462,"chriscoyier",95,1055,103,70,26,47,92
17141,"steveklabnik",15,559,146,132,22,36,138
17717,"getify",73,1032,58,64,24,41,94
17759,"mattn",74,614,234,162,17,14,273
18556,"yyx990803",26,973,35,27,26,39,48
19076,"JacksonTian",36,1001,25,24,22,40,67
19317,"sofish",91,1059,52,66,21,38,132
19455,"remy",66,949,125,96,19,34,63
22626,"commonsguy",55,980,68,79,16,34,53
22947,"yinwang0",57,1069,10,26,25,50,66
23627,"swankjesse",75,861,115,195,30,54,60
24452,"jeresig",32,1063,12,11,24,44,10
24765,"matz",97,1076,92,77,30,57,70
25843,"kytrinyx",56,392,213,269,27,52,281
27507,"hadley",6,462,132,39,9,15,33
28552,"mitchellh",40,853,99,91,17,25,103
28974,"taylorotwell",20,847,75,38,30,54,43
31824,"chrisbanes",61,1076,15,31,31,58,44
34383,"benbalter",46,677,239,93,20,30,149
53055,"clowwindy",83,1080,67,41,24,42,76
65647,"rstacruz",96,775,218,175,21,23,189
72477,"karpathy",77,1073,63,55,20,36,69
81423,"mdo",16,913,17,15,20,38,32
95914,"BYVoid",78,1077,27,52,25,46,90
99234,"bradfitz",23,744,140,111,23,40,62
100647,"romainguy",92,1078,43,94,29,60,65
104734,"onevcat",48,978,32,42,21,36,104
119087,"vczh",72,1077,22,48,28,56,79
122176,"astaxie",88,1066,51,65,20,40,106
130302,"Trinea",58,1052,34,23,25,50,64
133037,"romannurik",54,1032,36,58,21,40,39
212879,"johnpapa",53,941,91,56,18,34,83
355927,"ibireme",89,1078,37,51,25,44,118
376498,"Tj",9,866,2,3,4,3,4
417948,"gaearon",2,338,20,18,17,21,17
616741,"ruanyf",33,1059,8,12,24,37,26
1019351,"stormzhang",86,1077,62,44,22,48,81
1400269,"GrahamCampbell",99,241,491,197,26,43,407
1639886,"muan",85,1021,117,57,22,43,73
2016667,"jlord",21,947,46,19,19,38,28
2468643,"daimajia",41,1062,18,13,19,40,36
5805052,"phodal",22,779,102,60,20,20,130
6548689,"rauchg",70,913,136,107,22,47,74
13330706,"angusshire",93,1078,49,45,32,54,115
