id,login,BordaCount,12MonthActivityNum,Authority,FollowersNum,ForkedHindex,WatcherHindex,usrPageRankScore
8061345,"timmyreilly",17204,1047,20045,1524,30,55,39015
8063286,"YataoZhang",10595,1072,6479,1487,30,57,29169
8063826,"zhufengpeixun",4041,1045,3191,1414,23,56,9087
8067154,"keonkim",15469,951,25035,1460,31,52,27962
8071829,"jgamblin",2068,1057,794,1139,30,50,5202
8074991,"weilinear",17988,1079,13790,1499,30,58,47961
8075123,"JoshBurgess",15388,915,13603,1487,31,55,39090
8075646,"jimfb",8459,1011,15476,1400,32,59,12642
8075939,"nicolesaidy",15920,1070,15117,1530,32,59,39258
8079971,"kylemellander",14541,1026,6888,1526,31,58,42704
8084843,"renzifeng",8189,1071,7124,1259,30,49,20117
8085620,"xfumihiro",14639,1070,14662,1437,31,57,35322
8096065,"RpL02",8417,1069,2504,1437,31,57,25384
8105243,"taniarascia",8150,1069,20762,1269,31,48,6357
8108156,"xmuSistone",3706,1068,3805,1024,28,50,7656
8110399,"HuardMathieuB2",12130,1079,15459,1539,30,59,25615
8111942,"ma1co",15632,1067,31229,1483,31,54,22183
8112194,"remiradzikowski",17774,1080,35727,1541,32,60,25231
8117521,"niwinz",2354,1026,3568,1130,24,53,3424
8123598,"HotBitmapGG",3577,625,3106,1000,32,47,8422
8125164,"kalbasit",14197,999,17051,1490,31,58,31370
8131246,"Kauno-miestas",17977,1080,44787,1539,32,60,16871
8140716,"wolfgangfengel",8473,1079,13412,1456,30,60,14647
8142278,"rein",15519,1074,29285,1461,31,56,23754
8151850,"d0k3",6594,1025,7126,1429,29,49,14213
8152053,"MichaelBunker",16627,1073,4989,1520,31,59,51865
8154289,"ipselon",13847,1070,18147,1396,29,51,29106
8156407,"lmgonzalves",14756,1070,15128,1501,31,54,35196
8167325,"tjvr",14699,975,26965,1479,29,56,23315
8178618,"aviau",17848,907,27606,1502,30,57,33806
8182563,"Krystev",9880,1048,26108,1541,32,60,7072
8193522,"benpaddlejones",6165,1071,7736,1521,32,59,11888
8205604,"MAOstrander",14073,1052,6179,1524,32,59,41742
8210714,"rpominov",12443,946,17433,1439,30,52,24955
8216762,"oldnewthing",3794,1080,6702,1330,32,58,4728
8217776,"dthree",1877,1046,2288,986,28,55,3239
8220209,"KevinHM",15891,1075,19521,1357,29,55,34935
8222953,"Nhust",13520,1067,24889,1542,30,59,21152
8225142,"kn9ts",10381,1012,21864,1394,30,55,13147
8227910,"Sophiafk",14989,1080,32368,1547,31,59,18674
8233140,"arcetera",17361,1080,13642,1506,31,56,45926
8235492,"n1nj4sec",4587,1074,5148,1267,30,55,9180
8241216,"w4lle",7755,1051,11067,1319,30,55,14570
8249303,"ouvens",13133,1042,19441,1373,30,54,25408
8251585,"chatasweetie",12842,1061,9194,1532,32,58,34428
8255680,"nujkram",15775,1071,25416,1541,32,59,28421
8258229,"mapsam",9967,802,16769,1435,30,56,17027
8258622,"BreakingMalware",9408,1080,9396,1472,30,60,22098
8261752,"opensemanticsearch",13356,1056,10821,1478,32,57,34727
8262057,"ProjectVault",3506,1080,2873,1395,32,60,7463
8267016,"nikolaeu",5998,1079,13245,1496,31,57,5780
8268407,"vdonchev",8791,986,5650,1507,32,58,23632
8268561,"vaibhavgeek",15540,1047,23706,1539,32,59,29336
8269501,"jdhitsolutions",15159,933,6517,1451,31,53,45342
8275655,"Snowstark",10994,1080,10268,1529,32,59,26791
8277386,"r-walsh",13473,989,6301,1513,29,59,39676
8282469,"ftctechnh",4443,1064,3622,1415,31,58,10041
8283258,"larsenwork",17392,1052,33028,1397,30,54,26782
8284342,"librarianofbabel",3796,1080,3471,1452,32,58,7842
8288280,"mthbernardes",9552,1045,4355,1457,31,53,27673
8288778,"myth",14445,1043,9481,1529,31,58,39752
8290194,"DevSonw",17709,1052,28126,1510,31,55,32657
8291011,"me-no-dev",7003,1007,11243,1501,30,53,11535
8311516,"ZhongTaoTian",2586,1077,2255,843,29,60,5657
8312965,"wweic",16707,1074,24744,1485,32,59,32451
8315964,"programthink",150,1079,48,102,28,60,274
8317343,"JungleTian",14311,1066,15935,1444,30,56,32807
8320839,"AdiChat",8047,1026,3741,1283,32,56,23023
8321737,"HFTrader",5572,1046,1871,1335,31,54,15954
8349167,"jiweil",11263,1075,3464,1437,31,54,34703
